X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
-70.6505,-33.4376,107,Metropolitana,Chile,2022/04/30 11:21:00+00,-33.4376,-70.6505,1361835,0,28247,0,,,"Metropolitana, Chile"
-71.7622,-36.7225999999999,108,Nuble,Chile,2022/04/30 11:21:00+00,-36.7226,-71.7622,100302,0,1106,0,,,"Nuble, Chile"
-71.0022,-34.5755,109,OHiggins,Chile,2022/04/30 11:21:00+00,-34.5755,-71.0022,150063,0,2511,0,,,"OHiggins, Chile"
-69.5132,-19.9232,110,Tarapaca,Chile,2022/04/30 11:21:00+00,-19.9232,-69.5132,79591,0,1086,0,,,"Tarapaca, Chile"
,,111,Unknown,Chile,2022/04/30 11:21:00+00,,,43,0,2,0,,,"Unknown, Chile"
-71.6127,-33.0472,112,Valparaiso,Chile,2022/04/30 11:21:00+00,-33.0472,-71.6127,306860,0,5579,0,,,"Valparaiso, Chile"
117.2264,31.8257,113,Anhui,China,2022/04/30 11:21:00+00,31.8257,117.2264,1065,0,6,0,,,"Anhui, China"
116.4142,40.1824,114,Beijing,China,2022/04/30 11:21:00+00,40.1824,116.4142,2102,0,9,0,,,"Beijing, China"
107.874,30.0572,115,Chongqing,China,2022/04/30 11:21:00+00,30.0572,107.874,697,0,6,0,,,"Chongqing, China"
117.9874,26.0789,116,Fujian,China,2022/04/30 11:21:00+00,26.0789,117.9874,3018,0,1,0,,,"Fujian, China"
104.2861,35.7518000000001,117,Gansu,China,2022/04/30 11:21:00+00,35.7518,104.2861,681,0,2,0,,,"Gansu, China"
113.4244,23.3417000000001,118,Guangdong,China,2022/04/30 11:21:00+00,23.3417,113.4244,7033,0,8,0,,,"Guangdong, China"
108.7881,23.8298,119,Guangxi,China,2022/04/30 11:21:00+00,23.8298,108.7881,1583,0,2,0,,,"Guangxi, China"
106.8748,26.8154000000001,120,Guizhou,China,2022/04/30 11:21:00+00,26.8154,106.8748,179,0,2,0,,,"Guizhou, China"
109.7453,19.1959000000001,121,Hainan,China,2022/04/30 11:21:00+00,19.1959,109.7453,288,0,6,0,,,"Hainan, China"
114.9042,37.8957,122,Hebei,China,2022/04/30 11:21:00+00,37.8957,114.9042,1998,0,7,0,,,"Hebei, China"
127.7615,47.8620000000001,123,Heilongjiang,China,2022/04/30 11:21:00+00,47.862,127.7615,2938,0,13,0,,,"Heilongjiang, China"
